metric,value
pilot_total_stores_overview,93.0
pilot_vehicle_count_overview,15.0
strict_store_name_id_matches,80.0
demand_rows,3501.0
total_weekly_employee_demand_events,8650.0
unique_routeable_demand_stores,77.0
theoretical_peak_buses_from_demand,9.0
designed_trip_count,474.0
scheduled_trip_count,464.0
unscheduled_trip_count,8.0
in_trip_count,155.0
out_trip_count,233.0
mixed_trip_count,76.0
avg_trip_duration_min,132.06
total_designed_route_distance_km,27892.353
avg_stop_count_per_trip,7.43
avg_trip_occupancy_pct,80.84
weighted_avg_occupancy_pct,80.84
total_offered_seats,10208.0
total_assigned_passengers,8514.0
coverage_pct_of_demand,98.43
max_concurrent_trips,13.0
fleet_limit_breach_vs_13_buses,0.0
duty_count,256.0
split_duty_count,58.0
duty_count_over_9h,3.0
duty_count_over_10h,0.0
avg_duty_span_min,286.45
total_overtime_minutes_over_9h,60.57
max_duty_overtime_minutes,38.44
rescued_trip_count,11.0
handover_trip_count,191.0
baseline_reported_overtime_minutes,2235.0
baseline_reported_avg_trip_minutes,86.12
unique_unmatched_places,2.0
unmatched_place_occurrences,20.0
