trip_id,trip_type,requested_wave_label,rejection_reason,rejection_reason_counts,assigned_passengers,peak_load,stop_count,occupancy_pct
ORT_0049,IN,2026-04-06 12:00,buffer_violation,"{""buffer_violation"": 130}",13,13,7,59.09
ORT_0082,IN,2026-04-07 12:00,buffer_violation,"{""buffer_violation"": 125, ""duty_span_block"": 5}",13,13,8,59.09
ORT_0162,IN,2026-04-09 20:00,buffer_violation,"{""buffer_violation"": 75, ""slot_exhausted"": 55}",21,21,5,95.45
MIX_0054,MIXED,2026-04-09 20:00,buffer_violation,"{""buffer_violation"": 75, ""slot_exhausted"": 55}",23,22,9,100.0
ORT_0198,IN,2026-04-10 20:00,buffer_violation,"{""buffer_violation"": 79, ""slot_exhausted"": 51}",22,22,6,100.0
ORT_0205,IN,2026-04-10 20:00,buffer_violation,"{""buffer_violation"": 74, ""slot_exhausted"": 56}",21,21,6,95.45
REP_0001,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",3,3,1,13.64
REP_0002,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",3,3,1,13.64
REP_0003,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0004,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0005,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0006,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0007,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0008,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",2,2,1,9.09
REP_0009,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",1,1,1,4.55
REP_0010,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",1,1,1,4.55
REP_0011,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",1,1,1,4.55
REP_0012,IN,2026-04-08 09:00,small_isolated_demand,"{""buffer_violation"": 130}",1,1,1,4.55
REP_0013,IN,2026-04-10 21:00,small_isolated_demand,"{""buffer_violation"": 85, ""slot_exhausted"": 45}",1,1,1,4.55
